company,date,price,change,volatility,gdp
AAPL,2025-07-16,209.92176818847656,0.0,0.0,23685.287
AMZN,2025-07-16,223.19000244140625,0.0,0.0,23685.287
WMT,2025-07-16,94.92828369140624,0.0,0.0,23685.287
MSFT,2025-07-16,505.6199951171875,0.0,0.0,23685.287
TSLA,2025-07-16,321.6700134277344,0.0,0.0,23685.287
AAPL,2025-07-17,209.78192138671875,-0.0006661853268702,0.0004710641621568,23685.287
AMZN,2025-07-17,223.8800048828125,0.0030915472640284,0.0085028704471272,23685.287
WMT,2025-07-17,94.86841583251952,-0.0006306640819646,0.0004459468490079,23685.287
TSLA,2025-07-17,319.4100036621094,-0.007025863995037,0.0021860540347531,23685.287
MSFT,2025-07-17,511.7000122070313,0.0120248747054287,0.004968036074585,23685.287
WMT,2025-07-18,94.82852172851562,-0.0004205203982148,0.0003211269108973,23685.287
AMZN,2025-07-18,226.1300048828125,0.0100500265808809,0.0080368099689203,23685.287
TSLA,2025-07-18,329.6499938964844,0.0320590780406724,0.0051475096432676,23685.287
AAPL,2025-07-18,210.9405975341797,0.0055232411820893,0.0033975235234671,23685.287
MSFT,2025-07-18,510.0499877929688,-0.0032245932669529,0.0208357862967757,23685.287
MSFT,2025-07-21,510.05999755859375,1.96250678650145e-05,0.0180167828042499,23685.287
TSLA,2025-07-21,328.489990234375,-0.0035188948387289,0.0063943021268751,23685.287
WMT,2025-07-21,95.4470672607422,0.006522779443904,0.0034465750343225,23685.287
AAPL,2025-07-21,212.23912048339844,0.006155870251616,0.0035834619779082,23685.287
AMZN,2025-07-21,229.3000030517578,0.0140184765422355,0.0067218130209707,23685.287
TSLA,2025-07-22,332.1099853515625,0.0110201078413521,0.0086197922386267,23685.287
AMZN,2025-07-22,227.47000122070312,-0.0079808190436073,0.0077961998285525,23685.287
WMT,2025-07-22,95.62664794921876,0.0018814688982111,0.0029936450126395,23685.287
MSFT,2025-07-22,505.2699890136719,-0.0093910688308224,0.015805654516217,23685.287
AAPL,2025-07-22,214.15695190429688,0.0090361824744202,0.0041864058967813,23685.287
TSLA,2025-07-23,332.5599975585937,0.0013550095657464,0.0083657628678327,23685.287
MSFT,2025-07-23,505.8699951171875,0.0011874960250199,0.0156772918223786,23685.287
AMZN,2025-07-23,228.2899932861328,0.0036048360708191,0.0078186051459071,23685.287
WMT,2025-07-23,95.45704650878906,-0.0017735792696587,0.0033007804092751,23685.287
AAPL,2025-07-23,213.9072265625,-0.0011660856188711,0.0044872979826942,23685.287
AAPL,2025-07-24,213.5176696777344,-0.0018211487803653,0.0047925213922813,23685.287
AMZN,2025-07-24,232.22999572753903,0.0172587610376244,0.0070290839434251,23685.287
MSFT,2025-07-24,510.8800048828125,0.0099037496075733,0.0434323001384349,23685.287
WMT,2025-07-24,96.3749008178711,0.0096153646341605,0.0047899598242785,23685.287
TSLA,2025-07-24,305.29998779296875,-0.0819702007630128,0.0099874224754625,23685.287
AMZN,2025-07-25,231.44000244140625,-0.0034017710918776,0.0072082155626236,23685.287
AAPL,2025-07-25,213.6375427246093,0.0005614197975087,0.0047943585555379,23685.287
MSFT,2025-07-25,513.7100219726562,0.0055394947204734,0.0441873639046905,23685.287
WMT,2025-07-25,97.24288177490234,0.0090062967605182,0.0048801828832693,23685.287
TSLA,2025-07-25,316.0599975585937,0.0352440556693425,0.0108650556175367,23685.287
WMT,2025-07-28,97.38255310058594,0.0014363141356392,0.0050245572392543,23685.287
AAPL,2025-07-28,213.807357788086,0.0007948746335069,0.0043677347337803,23685.287
MSFT,2025-07-28,512.5,-0.0023554572052336,0.0474082898129373,23685.287
AMZN,2025-07-28,232.7899932861328,0.0058330056623134,0.0074018519201131,23685.287
TSLA,2025-07-28,325.5899963378906,0.0301524990600245,0.009659779413599,23685.287
AAPL,2025-07-29,211.030502319336,-0.0129876515826095,0.0057350197529748,23685.287
MSFT,2025-07-29,512.5700073242188,0.0001365996570121,0.0471415517451477,23685.287
WMT,2025-07-29,98.1008758544922,0.0073762982283314,0.0050371799483988,23685.287
TSLA,2025-07-29,321.20001220703125,-0.013483166498468,0.0095648812595665,23685.287
AMZN,2025-07-29,231.009994506836,-0.0076463715392998,0.0048530085970705,23685.287
WMT,2025-07-30,97.3625946044922,-0.0075257355611692,0.0072008351831653,23685.287
TSLA,2025-07-30,319.0400085449219,-0.0067247932130124,0.0100012218894864,23685.287
AMZN,2025-07-30,230.19000244140625,-0.0035495956232552,0.0048428495848281,23685.287
AAPL,2025-07-30,208.81301879882807,-0.010507881543836,0.0064911138359443,23685.287
MSFT,2025-07-30,513.239990234375,0.0013071051770152,0.0469757165753283,23685.287
WMT,2025-07-31,97.75169372558594,0.0039963922764625,0.0065068360931824,23685.287
TSLA,2025-07-31,308.2699890136719,-0.0337575828823786,0.0099121417922302,23685.287
MSFT,2025-07-31,533.5,0.0394747294659816,0.0295456260576075,23685.287
AMZN,2025-07-31,234.1100006103516,0.0170294023518382,0.0173724640320781,23685.287
AAPL,2025-07-31,207.334701538086,-0.0070796220908352,0.0063129701777806,23685.287
MSFT,2025-08-01,524.1099853515625,-0.0176007772229381,0.0237479873545687,23685.287
TSLA,2025-08-01,302.6300048828125,-0.0182955990912538,0.0394483944290647,23685.287
AMZN,2025-08-01,214.75,-0.0826961708593303,0.0211390292032671,23685.287
WMT,2025-08-01,98.260498046875,0.0052050691082388,0.0057916387501292,23685.287
AAPL,2025-08-01,202.1505889892578,-0.0250035932739211,0.0094177047686669,23685.287
MSFT,2025-08-04,535.6400146484375,0.0219992551546996,0.0204584448090414,23685.287
TSLA,2025-08-04,309.260009765625,0.0219079561703732,0.037884807519143,23685.287
AMZN,2025-08-04,211.6499938964844,-0.0144354184098515,0.022039802229099,23685.287
WMT,2025-08-04,99.3579330444336,0.0111686284862413,0.0070191465184374,23685.287
AAPL,2025-08-04,203.11949157714844,0.0047929743501371,0.0107416133079124,23685.287
TSLA,2025-08-05,308.7200012207031,-0.0017461311772288,0.0398775360797167,23685.287
AMZN,2025-08-05,213.75,0.0099220702295068,0.0244195048261819,23685.287
AAPL,2025-08-05,202.68995666503903,-0.0021146907604691,0.0111192882733476,23685.287
WMT,2025-08-05,99.0785903930664,-0.0028114780854213,0.0072837411679611,23685.287
MSFT,2025-08-05,527.75,-0.0147300695106135,0.0206415376027563,23685.287
AAPL,2025-08-06,213.0082550048828,0.0509068061862361,0.0282921457348795,23685.287
AMZN,2025-08-06,222.3099975585937,0.0400467722039474,0.0249192110568802,23685.287
WMT,2025-08-06,103.11915588378906,0.0407814188180599,0.0170155726731871,23685.287
MSFT,2025-08-06,524.9400024414062,-0.0053244861366058,0.0285802478075598,23685.287
TSLA,2025-08-06,319.9100036621094,0.0362464446655872,0.0470574815400298,23685.287
AAPL,2025-08-07,219.7805633544922,0.0317936426898297,0.0296897766151354,23685.287
AMZN,2025-08-07,223.1300048828125,0.0036885760119835,0.0157317094728792,23685.287
WMT,2025-08-07,102.87971496582033,-0.0023219829130349,0.017937395398776,23685.287
MSFT,2025-08-07,520.8400268554688,-0.0078103698839281,0.0210481544227704,23685.287
TSLA,2025-08-07,322.2699890136719,0.0073770289285954,0.0457843704453029,23685.287
WMT,2025-08-08,103.48829650878906,0.0059154668456355,0.0178886644193929,23685.287
AAPL,2025-08-08,229.0900115966797,0.0423579232853814,0.0232413756706629,23685.287
TSLA,2025-08-08,329.6499938964844,0.022900068682782,0.0203135040321756,23685.287
MSFT,2025-08-08,522.0399780273438,0.0023038766415852,0.014771386108667,23685.287
AMZN,2025-08-08,222.69000244140625,-0.001971955504762,0.0140807029134686,23685.287
WMT,2025-08-11,103.68782806396484,0.0019280591323564,0.0182813324317704,23685.287
MSFT,2025-08-11,521.77001953125,-0.0005171222654515,0.0155475633577847,23685.287
AAPL,2025-08-11,227.17999267578125,-0.0083374168414688,0.0266626965907698,23685.287
AMZN,2025-08-11,221.3000030517578,-0.0062418580735978,0.0066311394003823,23685.287
TSLA,2025-08-11,339.0299987792969,0.0284544366949328,0.0183413616632665,23685.287
TSLA,2025-08-12,340.8399963378906,0.0053387533997308,0.0186909094511536,23685.287
WMT,2025-08-12,103.37854766845705,-0.0029828032979629,0.018308439126736,23685.287
MSFT,2025-08-12,529.239990234375,0.0143165962464379,0.0133987531988039,23685.287
AAPL,2025-08-12,229.6499938964844,0.0108724416776797,0.0241259187014939,23685.287
AMZN,2025-08-12,221.47000122070312,0.0007681796954406,0.008633218249917,23685.287
WMT,2025-08-13,100.75466918945312,-0.0253812665991293,0.0121742696695033,23685.287
MSFT,2025-08-13,520.5800170898438,-0.0163630362488219,0.0134205779477428,23685.287
AMZN,2025-08-13,224.5599975585937,0.0139522116804042,0.0114702426403841,23685.287
AAPL,2025-08-13,233.3300018310547,0.0160244199101919,0.0195605957208317,23685.287
TSLA,2025-08-13,339.3800048828125,-0.0042835097722239,0.0075980437005098,23685.287
MSFT,2025-08-14,522.47998046875,0.003649704784151,0.0170776995244549,23685.287
WMT,2025-08-14,100.61499786376952,-0.0013862516427994,0.0122245258084831,23685.287
AAPL,2025-08-14,232.77999877929688,-0.0023571895917441,0.0197382601127665,23685.287
TSLA,2025-08-14,335.5799865722656,-0.0111969422354715,0.0142223836136528,23685.287
AMZN,2025-08-14,230.97999572753903,0.0285892333396118,0.0110601881246897,23685.287
AMZN,2025-08-15,231.02999877929688,0.0002164821745722,0.0112207872038423,23685.287
MSFT,2025-08-15,520.1699829101562,-0.0044212173574982,0.0173450559727405,23685.287
AAPL,2025-08-15,231.58999633789065,-0.0051121335494743,0.0106254015669601,23685.287
TSLA,2025-08-15,330.5599975585937,-0.0149591430196652,0.0139066817442893,23685.287
WMT,2025-08-15,100.0,-0.0061123875846245,0.0107911318138093,23685.287
