company,title,description,publishedAt,url,date,sentiment_score
AAPL,"iPhone 18 may drop a key feature, but would anyone even care?",One of Apple’s most lauded features of the last few years might have been unpopular enough to get dropped next year.,2025-08-19T19:17:31Z,https://www.phonearena.com/news/iphone-18-could-drop-camera-control-button-claims-dubious-rumor_id173352,2025-08-19,0.0
AAPL,Watch Britt Lower’s self-recorded audition tape for ‘Severance’,"If you listen to the Severance Podcast with Ben Stiller & Adam Scott, you probably remember the episode where Britt Lower, who plays Helly R., said she recorded her audition tape on her bathroom floor.



Now, The Hollywood Reporter has published the tape, an…",2025-08-19T19:16:45Z,https://9to5mac.com/2025/08/19/watch-britt-lowers-self-recorded-audition-tape-for-severance/,2025-08-19,-0.0516
AAPL,Pixar's 'Elio' stars get space food tips from a real-life astronaut in this exclusive bonus clip (video),The family-friendly animated outer space flick scores its home video release starting today (Aug. 19).,2025-08-19T19:14:25Z,https://www.space.com/entertainment/pixars-elio-stars-get-space-food-tips-from-a-real-life-astronaut-in-this-exclusive-bonus-clip-video,2025-08-19,0.0
AAPL,Trump admin says it convinced UK to drop demand for Apple backdoor,UK previously demanded that Apple break encryption to aid government spying.,2025-08-19T19:12:40Z,https://slashdot.org/firehose.pl?op=view&amp;id=178769972,2025-08-19,-0.2263
AAPL,"‘Palm Royale’ Sets Season 2 Release Date at Apple TV+, Drops First Look Images (TV News Roundup)","Apple TV+ has unveiled first-look images from Season 2 of its comedy series, “Palm Royale,” starring Kristen Wiig and Laura Dern. The series returns on Wednesday, Nov. 12, followed by weekly airings until Jan. 14, 2026.  In addition to Wiig and Dern, the cast…",2025-08-19T19:12:18Z,https://variety.com/2025/tv/news/tv-news-roundup-aug-18-2025-1236491979/,2025-08-19,0.3612
TSLA,"Elon Musk's Ex Ashley St. Clair Says She's ""Getting Evicted""","Elon Musk’s ex Ashley St. Clair says she’s “getting evicted” from her apartment, which comes five months after she accused him of reducing his child support payments for the baby she says he fathered.",2025-08-19T18:57:01Z,https://www.eonline.com/news/1421357/elon-musks-ex-ashley-st-clair-details-finances,2025-08-19,0.128
TSLA,A Customer Traded In Her BMW For An Expensive Tesla Because She Was Tired Of Paying For Repairs,She seems to think was a good trade-off!,2025-08-19T18:55:03Z,http://twistedsifter.com/2025/08/a-customer-traded-in-her-bmw-for-an-expensive-tesla-because-she-was-tired-of-paying-for-repairs/,2025-08-19,0.4926
TSLA,Markets on edge as Evercore warns - Powell’s Jackson Hole speech could spark a shocking 15% plunge,"Jerome Powell will speak at Jackson Hole, and Evercore warns his Fed rate cut signals could affect markets. Investors hoped for bigger cuts, so stocks may drop 7–15%. Mixed inflation and jobs data and high stock prices increase risks. Experts suggest safe inv…",2025-08-19T18:52:56Z,https://economictimes.indiatimes.com/news/international/us/markets-on-edge-as-evercore-warns-powells-jackson-hole-speech-could-spark-a-shocking-15-plunge/articleshow/123394142.cms,2025-08-19,-0.0935
TSLA,"Tesla Drivers Can Pursue Class Action Over Self-Driving Claims, Judge Rules",Tesla must face a certified class action by California drivers who said Elon Musk misled them for eight years about the self-driving capabilities of his company’s electric vehicles. U.S. District Judge Rita Lin said the common question of whether Tesla …,2025-08-19T18:32:52Z,https://www.insurancejournal.com/news/national/2025/08/19/836310.htm,2025-08-19,0.0
TSLA,Xiaomi to take on Tesla & BYD in Europe with EV foray in 2027,"Xiaomi has previously described ambitions to go global, though it's never specified a target market. Europe is a common destination for Chinese carmakers like BYD seeking to tap a more lucrative arena, while governments across the continent are wooing Chinese…",2025-08-19T18:30:53Z,https://economictimes.indiatimes.com/industry/renewables/xiaomi-to-take-on-tesla-byd-in-europe-with-ev-foray-in-2027/articleshow/123393901.cms,2025-08-19,0.3612
AMZN,Best performance and fastest memory with the new Amazon EC2 R8i and R8i-flex instances,"R8i and R8i-flex instances powered by Intel Xeon processors offer up to 15% better price performance, 20% higher performance, and 2.5 times more memory throughput compared to previous generations.",2025-08-19T19:16:24Z,https://aws.amazon.com/blogs/aws/best-performance-and-fastest-memory-with-the-new-amazon-ec2-r8i-and-r8i-flex-instances/,2025-08-19,0.4404
AMZN,"'It started here, with one man': Fallout Season 2 teaser takes us to Vegas to meet Mr. House, gives us a glimpse of Caesar's Legion and a Deathclaw",The season begins December 17.,2025-08-19T19:16:07Z,https://www.pcgamer.com/movies-tv/fallout-season-2-teaser/,2025-08-19,0.0
AMZN,Fallout season two gets a release date and a brand-new trailer featuring a New Vegas favourite,"After a whole lot of waiting, the second season of Amazon Prime's acclaimed live-action Fallout adaptation finally has an air date. It hits the streaming service on 17th December, and the news is accompanied by a brand-new trailer offering some glimpses of wh…",2025-08-19T19:15:14Z,https://www.eurogamer.net/fallout-season-two-gets-a-release-date-and-a-brand-new-trailer-featuring-a-new-vegas-favourite,2025-08-19,0.1779
AMZN,"‘Fallout’ Season 2 Trailer: Justin Theroux Plays Robert House, Deathclaw Attacks the Ghoul and Lucy in New Vegas","The first trailer for “Fallout” Season 2 has been released, and it’s showing a first look at new cast member Justin Theroux playing the video game character Robert House in the fan-favorite location of New Vegas. Plus, there’s a deadly Deathclaw stalking the …",2025-08-19T19:14:47Z,https://variety.com/2025/tv/news/fallout-season-2-trailer-justin-theroux-robert-house-deathclaw-1236493155/,2025-08-19,0.2023
AMZN,Pixar's 'Elio' stars get space food tips from a real-life astronaut in this exclusive bonus clip (video),The family-friendly animated outer space flick scores its home video release starting today (Aug. 19).,2025-08-19T19:14:25Z,https://www.space.com/entertainment/pixars-elio-stars-get-space-food-tips-from-a-real-life-astronaut-in-this-exclusive-bonus-clip-video,2025-08-19,0.0
MSFT,Call of Duty Black Ops 7 Beta Dates Revealed. Here's How To Join,There are separate Game Pass subscription and pre-order requirements to join the closed and open betas for the next Call of Duty game.,2025-08-19T19:11:42Z,https://www.cnet.com/tech/gaming/call-of-duty-black-ops-7-beta-dates-revealed-heres-how-to-join/,2025-08-19,0.296
MSFT,Python Engineering at Microsoft: Announcing the Data Wrangler powered Notebook Results Table,"An introduction to the new Results Table integrated into the output cell of Notebooks, powered by the VS Code extension called Data Wrangler.",2025-08-19T19:08:23Z,https://devblogs.microsoft.com/python/?p=10123,2025-08-19,0.0
MSFT,Switch 2 Will Get Indiana Jones But Not Until Next Year,"A new trailer showed off the Order of the Giants DLC
The post Switch 2 Will Get Indiana Jones But Not Until Next Year appeared first on Kotaku.",2025-08-19T19:08:06Z,https://kotaku.com/switch-2-indiana-jones-great-circle-release-date-port-dlc-trailer-2000618513,2025-08-19,0.0
MSFT,MSNBC's name change to 'MS NOW' gets rude welcome from social media,"MSNBC's new name, 'MS NOW,' was mocked on social media on Monday as the branding change was compared to several failed computer software products.",2025-08-19T19:06:22Z,https://www.foxnews.com/media/msnbcs-name-change-ms-now-rude-welcome-social-media,2025-08-19,-0.6808
WMT,Target customers may soon flee to Walmart due to alarming change,Target could soon make a major store change that threatens to scare away shoppers.,2025-08-19T19:13:00Z,https://www.thestreet.com/retail/target-customers-may-soon-flee-to-walmart-due-to-alarming-change,2025-08-19,-0.7003
WMT,FDA warns of radioactive contamination in some frozen shrimp sold at Walmart,No description,2025-08-19T18:55:48Z,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_9adcadbe-00c0-4905-bae7-6d713dfb4889,2025-08-19,-0.296
WMT,FDA warns public not to eat possibly radioactive shrimp sold at Walmart (ABC News),"ABC News:
FDA warns public not to eat possibly radioactive shrimp sold at Walmart  —  No shrimp that tested positive has entered the U.S. food supply, the FDA said.  —  The Food and Drug Administration is warning the public not to eat, sell or serve certain G…",2025-08-19T18:50:01Z,https://www.memeorandum.com/250819/p82,2025-08-19,0.1779
WMT,Best Buy launches third-party marketplace in effort to be more like Amazon and Walmart [Facepalm],Best Buy launches third-party marketplace in effort to be more like Amazon and Walmart,2025-08-19T18:49:20Z,https://www.fark.com/comments/13782412/Best-Buy-launches-third-party-marketplace-in-effort-to-be-more-like-Amazon-Walmart,2025-08-19,0.839
WMT,Potentially radioactive shrimp recalled by Walmart,"FDA announced that certain Great Value raw frozen shrimp sold at Walmart could be potentially contaminated with Cesium-137, a radioactive isotope",2025-08-19T18:46:15Z,https://www.the-independent.com/life-style/radioactive-shrimp-walmart-recall-b2810536.html,2025-08-19,0.8225
