company,date,price,change
AAPL,2025-07-21,212.23912048339844,0.0
AAPL,2025-07-22,214.15695190429688,0.009036182474420285
AAPL,2025-07-23,213.9072265625,-0.0011660856188711044
AAPL,2025-07-24,213.51766967773438,-0.0018211487803653226
AAPL,2025-07-25,213.63754272460938,0.0005614197975087887
AAPL,2025-07-28,213.80735778808594,0.0007948746335069146
AAPL,2025-07-29,211.03050231933594,-0.012987651582609505
AAPL,2025-07-30,208.81301879882812,-0.010507881543836084
AAPL,2025-07-31,207.33470153808594,-0.007079622090835236
AAPL,2025-08-01,202.1505889892578,-0.0250035932739211
AAPL,2025-08-04,203.11949157714844,0.004792974350137147
AAPL,2025-08-05,202.68995666503906,-0.0021146907604691068
AAPL,2025-08-06,213.0082550048828,0.05090680618623611
AAPL,2025-08-07,219.7805633544922,0.03179364268982976
AAPL,2025-08-08,229.0900115966797,0.04235792328538146
AAPL,2025-08-11,227.17999267578125,-0.008337416841468825
AAPL,2025-08-12,229.64999389648438,0.010872441677679756
AAPL,2025-08-13,233.3300018310547,0.01602441991019199
AAPL,2025-08-14,232.77999877929688,-0.0023571895917441354
AAPL,2025-08-15,231.58999633789062,-0.005112133549474374
AAPL,2025-08-18,230.88999938964844,-0.0030225698834628334
AAPL,2025-08-19,230.55999755859375,-0.001429259958971918
AAPL,2025-08-20,226.00999450683594,-0.019734572779050663
AAPL,2025-08-21,225.0850067138672,-0.004092685347774627
TSLA,2025-07-21,328.489990234375,0.0
TSLA,2025-07-22,332.1099853515625,0.0110201078413521
TSLA,2025-07-23,332.55999755859375,0.0013550095657464123
TSLA,2025-07-24,305.29998779296875,-0.08197020076301287
TSLA,2025-07-25,316.05999755859375,0.03524405566934252
TSLA,2025-07-28,325.5899963378906,0.030152499060024596
TSLA,2025-07-29,321.20001220703125,-0.013483166498468035
TSLA,2025-07-30,319.0400085449219,-0.006724793213012448
TSLA,2025-07-31,308.2699890136719,-0.03375758288237862
TSLA,2025-08-01,302.6300048828125,-0.01829559909125389
TSLA,2025-08-04,309.260009765625,0.021907956170373222
TSLA,2025-08-05,308.7200012207031,-0.0017461311772288823
TSLA,2025-08-06,319.9100036621094,0.03624644466558724
TSLA,2025-08-07,322.2699890136719,0.007377028928595486
TSLA,2025-08-08,329.6499938964844,0.02290006868278205
TSLA,2025-08-11,339.0299987792969,0.02845443669493286
TSLA,2025-08-12,340.8399963378906,0.005338753399730889
TSLA,2025-08-13,339.3800048828125,-0.004283509772223915
TSLA,2025-08-14,335.5799865722656,-0.011196942235471519
TSLA,2025-08-15,330.55999755859375,-0.014959143019665277
TSLA,2025-08-18,335.1600036621094,0.013915797850586165
TSLA,2025-08-19,329.30999755859375,-0.017454368181154756
TSLA,2025-08-20,323.8999938964844,-0.016428300696053943
TSLA,2025-08-21,322.57000732421875,-0.00410616423997423
AMZN,2025-07-21,229.3000030517578,0.0
AMZN,2025-07-22,227.47000122070312,-0.007980819043607368
AMZN,2025-07-23,228.2899932861328,0.003604836070819184
AMZN,2025-07-24,232.22999572753906,0.01725876103762447
AMZN,2025-07-25,231.44000244140625,-0.00340177109187767
AMZN,2025-07-28,232.7899932861328,0.005833005662313484
AMZN,2025-07-29,231.00999450683594,-0.007646371539299812
AMZN,2025-07-30,230.19000244140625,-0.003549595623255297
AMZN,2025-07-31,234.11000061035156,0.017029402351838252
AMZN,2025-08-01,214.75,-0.08269617085933034
AMZN,2025-08-04,211.64999389648438,-0.01443541840985152
AMZN,2025-08-05,213.75,0.009922070229506863
AMZN,2025-08-06,222.30999755859375,0.04004677220394748
AMZN,2025-08-07,223.1300048828125,0.0036885760119835798
AMZN,2025-08-08,222.69000244140625,-0.001971955504762035
AMZN,2025-08-11,221.3000030517578,-0.006241858073597895
AMZN,2025-08-12,221.47000122070312,0.0007681796954406295
AMZN,2025-08-13,224.55999755859375,0.01395221168040428
AMZN,2025-08-14,230.97999572753906,0.02858923333961183
AMZN,2025-08-15,231.02999877929688,0.00021648217457226338
AMZN,2025-08-18,231.49000549316406,0.0019911124801876845
AMZN,2025-08-19,228.00999450683594,-0.01503309388634011
AMZN,2025-08-20,223.80999755859375,-0.01842023178556884
AMZN,2025-08-21,222.0,-0.008087206015539583
MSFT,2025-07-21,510.05999755859375,0.0
MSFT,2025-07-22,505.2699890136719,-0.009391068830822413
MSFT,2025-07-23,505.8699951171875,0.0011874960250199962
MSFT,2025-07-24,510.8800048828125,0.009903749607573342
MSFT,2025-07-25,513.7100219726562,0.005539494720473437
MSFT,2025-07-28,512.5,-0.0023554572052336686
MSFT,2025-07-29,512.5700073242188,0.0001365996570121819
MSFT,2025-07-30,513.239990234375,0.0013071051770152664
MSFT,2025-07-31,533.5,0.03947472946598163
MSFT,2025-08-01,524.1099853515625,-0.01760077722293818
MSFT,2025-08-04,535.6400146484375,0.021999255154699693
MSFT,2025-08-05,527.75,-0.014730069510613508
MSFT,2025-08-06,524.9400024414062,-0.005324486136605855
MSFT,2025-08-07,520.8400268554688,-0.007810369883928137
MSFT,2025-08-08,522.0399780273438,0.0023038766415852674
MSFT,2025-08-11,521.77001953125,-0.0005171222654515306
MSFT,2025-08-12,529.239990234375,0.014316596246437996
MSFT,2025-08-13,520.5800170898438,-0.01636303624882196
MSFT,2025-08-14,522.47998046875,0.0036497047841510533
MSFT,2025-08-15,520.1699829101562,-0.0044212173574982305
MSFT,2025-08-18,517.0999755859375,-0.005901930955421908
MSFT,2025-08-19,509.7699890136719,-0.014175182592031321
MSFT,2025-08-20,505.7200012207031,-0.007944735626365218
MSFT,2025-08-21,506.7850036621094,0.002105913230316281
WMT,2025-07-21,95.44706726074219,0.0
WMT,2025-07-22,95.62664794921875,0.0018814688982111694
WMT,2025-07-23,95.45704650878906,-0.0017735792696587094
WMT,2025-07-24,96.3749008178711,0.009615364634160573
WMT,2025-07-25,97.24288177490234,0.009006296760518229
WMT,2025-07-28,97.38255310058594,0.0014363141356392717
WMT,2025-07-29,98.10087585449219,0.007376298228331413
WMT,2025-07-30,97.36259460449219,-0.0075257355611692
WMT,2025-07-31,97.75169372558594,0.003996392276462535
WMT,2025-08-01,98.260498046875,0.005205069108238813
WMT,2025-08-04,99.3579330444336,0.011168628486241339
WMT,2025-08-05,99.0785903930664,-0.0028114780854213706
WMT,2025-08-06,103.11915588378906,0.04078141881805997
WMT,2025-08-07,102.87971496582031,-0.002321982913034981
WMT,2025-08-08,103.48829650878906,0.0059154668456355974
WMT,2025-08-11,103.68782806396484,0.0019280591323564966
WMT,2025-08-12,103.37854766845703,-0.002982803297962966
WMT,2025-08-13,100.75466918945312,-0.025381266599129315
WMT,2025-08-14,100.61499786376953,-0.0013862516427994853
WMT,2025-08-15,100.0,-0.006112387584624512
WMT,2025-08-18,100.69999694824219,0.006999969482421875
WMT,2025-08-19,101.29000091552734,0.005859026664999822
WMT,2025-08-20,102.56999969482422,0.012636970754540178
WMT,2025-08-21,98.51419830322266,-0.03954179003284353
